ID,total_clients,fraction_fit,strategy,dataset,local_epochs,num_rounds,setting,partitioning_type,labels_per_client,alpha,batch_size,output_folder,learning_rate,dropout,Comments,valid
1,20,0.7,FedAvg,mnist,1,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-13\\00-09-03,0.01,FALSE,,Yes
2,20,0.7,FedCosine,mnist,1,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-13\\10-10-39,0.01,FALSE,,Yes
3,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-13\\11-06-40,0.01,FALSE,problem with wrong call to aggegrate fit was detected,No
3,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-14\00-35-18,0.01,FALSE,weird results might need to be redone,No
4,20,0.7,FedAvg,mnist,1,50,Non-IID,label_quantity,6,NA,64,outputs\\2024-08-13\\18-25-10,0.01,FALSE,,Yes
5,20,0.7,FedCosine,mnist,1,50,Non-IID,label_quantity,6,NA,64,outputs\\2024-08-13\\20-00-20,0.01,FALSE,,Yes
6,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,6,NA,64,outputs\\2024-08-13\\20-36-37,0.01,FALSE,problem with wrong call to aggegrate fit was detected,No
7,20,0.7,FedAvg,mnist,1,50,Non-IID,drichlet,NA,0.2,64,outputs\\2024-08-14\\01-37-21,0.01,FALSE,,Yes
8,20,0.7,FedCosine,mnist,1,50,Non-IID,drichlet,NA,0.2,64,outputs\\2024-08-13\\21-28-26,0.01,FALSE,,Yes
9,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,drichlet,NA,0.2,64,outputs\\2024-08-13\\22-21-26,0.01,FALSE,"Client participation was not registered correctly
problem with wrong call to aggegrate fit was detected",No
10,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,drichlet,NA,0.2,64,outputs\\2024-08-13\\23-33-58,0.01,FALSE,weird results might need to be redone,No
11,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,drichlet,NA,0.2,64,outputs\\2024-08-14\\11-44-05,0.01,FALSE,,Yes
12,20,0.7,FedCosine,mnist,1,50,Non-IID,drichlet,NA,0.2,64,outputs\\2024-08-14\\13-27-49,0.01,FALSE,,Yes
13,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,6,NA,64,outputs\\2024-08-14\\15-43-32,0.01,FALSE,,Yes
14,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,drichlet,NA,0.5,64,outputs\\2024-08-14\\16-55-46,0.01,FALSE,,Yes
15,20,0.7,FedCosine,mnist,1,50,Non-IID,drichlet,NA,0.5,64,outputs\\2024-08-14\\19-08-36,0.01,FALSE,,Yes
16,20,0.7,FedAvg,mnist,5,50,Non-IID,drichlet,NA,0.5,64,outputs\\2024-08-14\\22-00-40,0.01,FALSE,,Yes
17,20,0.7,FedAvg,mnist,1,50,Non-IID,drichlet,NA,0.5,64,outputs\\2024-08-14\\23-39-39,0.01,FALSE,,Yes
18,20,0.7,FedCosine,mnist,1,50,iid,NA,NA,NA,64,outputs\2024-08-15\00-23-07,0.01,FALSE,,Yes
19,20,0.7,FedAvg,mnist,1,50,iid,NA,NA,NA,64,outputs\\2024-08-16\\00-06-45,0.01,FALSE,,Yes
20,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-17\\13-49-38,0.01,FALSE,,Yes
21,20,0.7,FedCosineDivergence,mnist,1,50,iid,NA,NA,NA,64,outputs\\2024-08-17\\17-58-48,0.01,FALSE,,Yes
22,20,0.7,FedAvg,mnist,1,50,Non-IID,label_quantity,1,NA,64,outputs\\2024-08-18\\00-02-56,0.01,FALSE,,Yes
23,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,1,NA,64,outputs\\2024-08-18\\00-44-30,0.01,FALSE,,Yes
24,20,0.7,FedCosine,mnist,1,50,Non-IID,label_quantity,1,NA,64,outputs\\2024-08-18\\01-34-45,0.01,FALSE,,Yes
25,20,0.7,FedCosine,mnist,3,50,Non-IID,label_quantity,1,NA,64,outputs\\2024-08-18\\02-28-07,0.01,FALSE,,Yes
26,20,0.7,FedCosineDivergence,mnist,3,50,Non-IID,label_quantity,1,NA,64,outputs\\2024-08-18\\11-03-45,0.01,FALSE,,Yes
27,20,0.7,FedAvg,mnist,3,50,Non-IID,label_quantity,1,NA,64,outputs\\2024-08-18\\11-57-27,0.01,FALSE,,Yes
28,20,0.7,FedCosineDivergence,mnist,1,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-17\\13-49-38,0.01,FALSE,,Yes
29,20,0.7,FedAvg,mnist,5,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-17\\18-46-18,0.01,FALSE,,Yes
30,20,0.7,FedCosine,mnist,5,50,Non-IID,label_quantity,3,NA,64,outputs\\2024-08-17\\20-12-45,0.01,FALSE,,Yes
31,20,NA,FedCosineDynamic,mnist,1,30,Non-IID,label_quantity,2,NA,64,outputs\\2024-08-25\\16-23-29,0.01,FALSE,,Yes
32,20,NA,FedCosineDynamic,mnist,3,30,Non-IID,label_quantity,2,NA,64,outputs\\2024-08-25\\16-39-16,0.01,FALSE,,Yes
33,20,NA,FedCosineDynamic,mnist,5,30,Non-IID,label_quantity,2,NA,64,outputs\\2024-08-25\\17-03-06,0.01,FALSE,,Yes
34,20,NA,FedCosineDynamicPenultime,mnist,3,30,Non-IID,label_quantity,2,NA,64,outputs\\2024-08-25\\17-03-06,0.01,FALSE,,Yes
35,30,0.47,Fedavg,mnist,3,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-01\\16-53-24,0.01,FALSE,"    label_groups = {0: [0, 1, 2],1: [3, 4, 5], 2: [6, 7, 8, 9]}",Yes
36,30,NA,FedCosineCluster,mnist,3,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-01\\17-16-22,0.01,FALSE,"    label_groups = {0: [0, 1, 2],1: [3, 4, 5], 2: [6, 7, 8, 9]} cluster specific model is sent in every round",No
37,30,0.7,FedCosineCluster,mnist,3,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-01\\17-45-24,0.01,FALSE,,Yes
38,30,0.7,FedCosineCluster,mnist,3,30,Non-IID,label_quantity,1,NA,64,outputs\\2024-09-01\\21-51-40,0.01,FALSE,,Yes
35,30,0.47,Fedavg,mnist,3,30,Non-IID,label_quantity,1,NA,64,outputs\\2024-09-01\\21-13-49,0.01,FALSE,,Yes
36,20,0.6,FedAvg,cifar10,2,30,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-03\\00-10-51,0.01,FALSE,,Yes
37,,0.6,FedLocalLoss,cifar10,,30,Non-IID,drichlet,NA,0.3,64,outputs\2024-09-03\09-14-44,0.01,FALSE,,Yes
38,30,0.7,FedAvg,mnist,2,20,Non-IID,label_quantity,2,NA,64,outputs\\2024-09-07\\19-27-22,0.01,FALSE,,Yes
39,30,0.7,FedAvg,mnist,2,20,Non-IID,label_quantity,2,NA,64,outputs\\2024-09-07\\19-27-22,0.01,FALSE,,Yes
40,30,NA,FedCosineDivergence,mnist,2,20,Non-IID,label_quantity,2,NA,64,outputs\\2024-09-07\\20-22-03,0.01,FALSE,,Yes
41,30,0.7,FedAvg,mnist,2,20,Non-IID,label_quantity,1,NA,64,outputs\\2024-09-07\\20-56-05,0.01,FALSE,,Yes
42,30,0.7,FedCosineDivergence,mnist,2,20,Non-IID,label_quantity,1,NA,64,outputs\\2024-09-07\\21-25-51,0.01,FALSE,,Yes
43,30,0.7,FedAvg,mnist,2,30,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-07\\22-06-17,0.01,FALSE,,Yes
44,30,NA,FedCosineDivergence,mnist,2,30,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-07\\23-25-49,0.01,FALSE,,Yes
45,30,,FedAvg,cifar10,2,60,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-08\\00-30-29,0.01,FALSE,,Yes
46,30,NA,FedCosineDivergence,cifar10,2,60,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-08\\02-26-01,0.01,FALSE,,Yes
47,30,NA,FedCosineDivergence,mnist,2,30,Non-IID,drichlet,1,0.3,64,outputs\\2024-09-08\\17-11-33,0.01,FALSE,,Yes
48,30,NA,FedCosineDivergence,mnist,2,30,Non-IID,drichlet,1,0.3,64,outputs\\2024-09-08\\18-14-58,0.01,FALSE,,Yes
49,30,NA,FedCosineDivergence,mnist,2,30,Non-IID,,1,0.3,64,outputs\\2024-09-08\\18-14-58,0.01,FALSE,,Yes
50,30,0.7,FedDissimilarityBiased,mnist,2,30,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-08\\20-53-27,0.01,FALSE,,Yes
51,30,0.7,FedSimilarityBiased,mnist,2,30,Non-IID,drichlet,NA,0.3,64,outputs\\2024-09-08\\22-03-27,0.01,FALSE,,Yes
52,20,1,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-13\\02-01-47,0.01,FALSE,,Yes
53,20,1,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-13\\10-03-53,0.01,FALSE,,Yes
54,20,1,FedAvg,cifar10,2,60,Non-IID,label_quantity,1,NA,64,,0.01,FALSE,,Yes
55,20,1,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-13\\02-01-47,0.01,FALSE,,Yes
56,20,0.7,FedAvg,mnist,2,15,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\00-55-53,0.01,FALSE,,Yes
57,20,1,FedClusterEnsemble,mnist,2,15,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\01-18-43,0.01,FALSE,,Yes
58,20,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\02-04-59,0.01,FALSE,,Yes
59,20,0.7,FedAvg,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\09-56-52,0.01,FALSE,,Yes
60,20,1,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\13-24-27,0.01,FALSE,,Yes
61,20,0.7,FedAvg,mnist,2,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\00-55-53,0.01,FALSE,,Yes
62,20,0.7,FedAvg,mnist,2,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\18-01-42,0.01,FALSE,,Yes
63,20,1,FedClusterEnsemble,mnist,2,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\19-13-50,0.01,FALSE,,Yes
64,20,1,FedClusterEnsemble,mnist,2,30,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\19-13-50,0.01,FALSE,,Yes
65,20,1,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-14\\21-46-34,0.01,FALSE,,Yes
66,20,1,FedClusterEnsemble,mnist,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-09-15\\02-20-23,0.01,FALSE,,Yes
67,20,1,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-09-15\\03-28-43,0.01,FALSE,,Yes
68,20,0.7,FedAvg,mnist,2,30,Non-IID,label_groups,NA,,16,outputs\\2024-09-15\\14-04-37,0.01,FALSE,,Yes
69,20,1,FedClusterEnsemble,mnist,2,30,Non-IID,label_groups,NA,NA,16,outputs\\2024-09-15\\16-10-01,0.01,FALSE,,Yes
70,20,0.5,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-21\\00-22-51,0.01,FALSE,,Yes
71,20,0.3,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-21\\00-24-00,0.01,FALSE,,Yes
72,20,0.8,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-21\\00-35-32,0.01,FALSE,,Yes
73,20,0.9,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-21\\01-01-38,0.01,FALSE,,Yes
