round,fraction_fit,fraction_fit_prev,accuracy_prev,accuracy
1,0.1,,,0.1033
2,0.1,0.1,0.1033,0.1098
3,0.1,0.1,0.1098,0.1497
4,0.1,0.1,0.1497,0.1693
5,0.125,0.1,0.1693,0.2412
6,0.15,0.125,0.2412,0.273
7,0.175,0.15,0.273,0.2812
8,0.2,0.175,0.2812,0.2965
9,0.225,0.2,0.2965,0.3066
10,0.25,0.225,0.3066,0.3101
11,0.275,0.25,0.3101,0.3444
12,0.3,0.275,0.3444,0.359
13,0.325,0.3,0.359,0.386
14,0.35,0.325,0.386,0.3985
15,0.375,0.35,0.3985,0.4166
16,0.4,0.375,0.4166,0.4264
17,0.425,0.4,0.4264,0.4477
18,0.45,0.425,0.4477,0.4496
19,0.475,0.45,0.4496,0.4553
20,0.5,0.475,0.4553,0.4619
21,0.525,0.5,0.4619,0.4772
22,0.55,0.525,0.4772,0.4863
23,0.575,0.55,0.4863,0.4865
24,0.6,0.575,0.4865,0.4919
25,0.625,0.6,0.4919,0.4975
26,0.65,0.625,0.4975,0.4986
27,0.675,0.65,0.4986,0.5036
28,0.7,0.675,0.5036,0.5086
29,0.725,0.7,0.5086,0.5125
30,0.75,0.725,0.5125,0.5143
31,0.775,0.75,0.5143,0.5197
32,0.8,0.775,0.5197,0.5186
33,0.825,0.8,0.5186,0.5265
34,0.85,0.825,0.5265,0.5264
35,0.875,0.85,0.5264,0.5316
36,0.9,0.875,0.5316,0.5375
37,0.925,0.9,0.5375,0.5402
38,0.95,0.925,0.5402,0.5417
39,0.975,0.95,0.5417,0.5461
40,1.0,0.975,0.5461,0.5437
