round,fraction_fit,fraction_fit_prev,accuracy_prev,accuracy
1,0.5,,,0.1041
2,0.2762120213103668,0.2762120213103668,0.1041,0.1075
3,0.2403950683025824,0.2403950683025824,0.1075,0.1411
4,0.10827734645496669,0.10827734645496669,0.1411,0.2302
5,0.190700201239684,0.190700201239684,0.2302,0.2445
6,0.11295413976678029,0.11295413976678029,0.2445,0.2381
7,0.10827734645496669,0.10827734645496669,0.2381,0.2526
8,0.10827734645496669,0.10827734645496669,0.2526,0.2886
9,0.10827734645496669,0.10827734645496669,0.2886,0.3092
10,0.10827734645496669,0.10827734645496669,0.3092,0.3201
11,0.20983441136030095,0.20983441136030095,0.3201,0.3458
12,0.10827734645496669,0.10827734645496669,0.3458,0.3696
13,0.10827734645496669,0.10827734645496669,0.3696,0.3929
14,0.10827734645496669,0.10827734645496669,0.3929,0.3789
15,0.10827734645496669,0.10827734645496669,0.3789,0.412
16,0.10827734645496669,0.10827734645496669,0.412,0.4122
17,0.10827734645496669,0.10827734645496669,0.4122,0.4135
18,0.10827734645496669,0.10827734645496669,0.4135,0.4193
19,0.10827734645496669,0.10827734645496669,0.4193,0.4457
20,0.10827734645496669,0.10827734645496669,0.4457,0.4384
21,0.10827734645496669,0.10827734645496669,0.4384,0.3641
22,0.10827734645496669,0.10827734645496669,0.3641,0.4557
23,0.10827734645496669,0.10827734645496669,0.4557,0.4629
24,0.10827734645496669,0.10827734645496669,0.4629,0.4699
25,0.10827734645496669,0.10827734645496669,0.4699,0.4628
26,0.10827734645496669,0.10827734645496669,0.4628,0.4764
27,0.10827734645496669,0.10827734645496669,0.4764,0.4755
28,0.10827734645496669,0.10827734645496669,0.4755,0.4732
29,0.10827734645496669,0.10827734645496669,0.4732,0.469
30,0.10827734645496669,0.10827734645496669,0.469,0.4774
31,0.10827734645496669,0.10827734645496669,0.4774,0.4948
32,0.10827734645496669,0.10827734645496669,0.4948,0.4613
33,0.10827734645496669,0.10827734645496669,0.4613,0.4674
34,0.10827734645496669,0.10827734645496669,0.4674,0.4966
35,0.10827734645496669,0.10827734645496669,0.4966,0.4982
36,0.10827734645496669,0.10827734645496669,0.4982,0.513
37,0.10827734645496669,0.10827734645496669,0.513,0.515
38,0.10827734645496669,0.10827734645496669,0.515,0.512
39,0.10827734645496669,0.10827734645496669,0.512,0.501
40,0.10827734645496669,0.10827734645496669,0.501,0.5178
