round,fraction_fit,fraction_fit_prev,accuracy_prev,accuracy
1,0.5,,,0.1262
2,0.35635644493972085,0.35635644493972085,0.1262,0.1502
3,0.2403950683025824,0.2403950683025824,0.1502,0.1342
4,0.10827734645496669,0.10827734645496669,0.1342,0.1755
5,0.10827734645496669,0.10827734645496669,0.1755,0.2124
6,0.10827734645496669,0.10827734645496669,0.2124,0.2372
7,0.10827734645496669,0.10827734645496669,0.2372,0.2729
8,0.10827734645496669,0.10827734645496669,0.2729,0.3341
9,0.190700201239684,0.190700201239684,0.3341,0.348
10,0.10827734645496669,0.10827734645496669,0.348,0.3543
11,0.10827734645496669,0.10827734645496669,0.3543,0.3793
12,0.10827734645496669,0.10827734645496669,0.3793,0.3953
13,0.10827734645496669,0.10827734645496669,0.3953,0.3889
14,0.10827734645496669,0.10827734645496669,0.3889,0.4156
15,0.10827734645496669,0.10827734645496669,0.4156,0.3991
16,0.10827734645496669,0.10827734645496669,0.3991,0.4203
17,0.10827734645496669,0.10827734645496669,0.4203,0.4299
18,0.10827734645496669,0.10827734645496669,0.4299,0.4166
19,0.10827734645496669,0.10827734645496669,0.4166,0.447
20,0.10827734645496669,0.10827734645496669,0.447,0.4612
21,0.10827734645496669,0.10827734645496669,0.4612,0.4403
22,0.10827734645496669,0.10827734645496669,0.4403,0.4613
23,0.10827734645496669,0.10827734645496669,0.4613,0.453
24,0.10827734645496669,0.10827734645496669,0.453,0.4625
25,0.10827734645496669,0.10827734645496669,0.4625,0.4656
26,0.10827734645496669,0.10827734645496669,0.4656,0.475
27,0.10827734645496669,0.10827734645496669,0.475,0.4821
28,0.10827734645496669,0.10827734645496669,0.4821,0.4686
29,0.10827734645496669,0.10827734645496669,0.4686,0.4658
30,0.10827734645496669,0.10827734645496669,0.4658,0.4862
31,0.10827734645496669,0.10827734645496669,0.4862,0.4906
32,0.10827734645496669,0.10827734645496669,0.4906,0.4873
33,0.10827734645496669,0.10827734645496669,0.4873,0.4866
34,0.10827734645496669,0.10827734645496669,0.4866,0.4944
35,0.10827734645496669,0.10827734645496669,0.4944,0.4952
36,0.10827734645496669,0.10827734645496669,0.4952,0.5074
37,0.10827734645496669,0.10827734645496669,0.5074,0.4718
38,0.10827734645496669,0.10827734645496669,0.4718,0.5094
39,0.10827734645496669,0.10827734645496669,0.5094,0.5026
40,0.10827734645496669,0.10827734645496669,0.5026,0.5192
